video_id,title,channel,published_at,published_year,published_month,keyword,category,dimension
JawnGujw4rM,MARI Berbincang Eps.1 | Lebih Dekat dengan Sekretaris Mahkamah Agung RI,Humas Mahkamah Agung RI,2021-04-07T04:54:17Z,2021,4,Hasbi Hasan MA,institusional,integritas_korupsi
ls_tVBcaCQw,Testimoni Film &quot;Pesan Bermakna&quot; Bersama Sekretaris MA,Humas Mahkamah Agung RI,2021-08-18T09:20:59Z,2021,8,Hasbi Hasan MA,institusional,integritas_korupsi
AtSA42oqWEQ,"waktu-wakyu yg DILARANG melakukan SHALAT. || Tgk.H.Husnaini Hasbi, MA.",Fahrizal Nora Official,2021-04-25T09:12:34Z,2021,4,Hasbi Hasan MA,institusional,integritas_korupsi
-Uri3ODY4Ns,Administrasi Persidangan Online sebagai Terobosan Mahkamah Agung RI di Tengah Pandemi,FH Unila,2021-03-03T09:34:07Z,2021,3,Hasbi Hasan MA,institusional,integritas_korupsi
J6xkBf3_l0w,Selamat Hari Raya Idul Fitri 1 Syawal 1442H | Ketua MA dan Segenap Pimpinan MA,Humas Mahkamah Agung RI,2021-05-12T23:34:54Z,2021,5,Hasbi Hasan MA,institusional,integritas_korupsi
oBU-4O4cvzE,Kuliah Umum &quot;Prosfek Lulusan Fakultas Syari&#39;ah dan Hukum dilingkungan Mahkamah Agung&quot;,Syariah & Hukum UIN Bandung Official,2021-09-06T15:06:49Z,2021,9,Hasbi Hasan MA,institusional,integritas_korupsi
B6d8qs52OHA,Pembukaan Seleksi Kompetensi Dasar CPNS MA 2021,Humas Mahkamah Agung RI,2021-10-04T10:35:18Z,2021,10,Hasbi Hasan MA,institusional,integritas_korupsi
JkS8zPIFouU,Himbauan Ketua Mahkamah Agung Republik Indonesia,Humas Mahkamah Agung RI,2021-01-22T07:49:30Z,2021,1,Hasbi Hasan MA,institusional,integritas_korupsi
KzHmMVGpxMY,"Pesan Panitera Mahkamah Agung RI Bpk Dr. Ridwan Mansyur, S.H., M.H.",Humas Mahkamah Agung RI,2021-02-16T11:19:29Z,2021,2,Hasbi Hasan MA,institusional,integritas_korupsi
LyVV7FwR2Xk,"Eks Sekretaris MA Nurhadi dan Menantunya Divonis 6 Tahun Bui, Cuma Separuh dari Tuntutan JPU",Tribunnews,2021-03-12T05:47:30Z,2021,3,Nurhadi MA,institusional,integritas_korupsi
IhKRQd_yxLE,Eks Sekretaris MA Nurhadi Divonis 6 tahun Penjara,Suaradotcom,2021-03-10T14:24:01Z,2021,3,Nurhadi MA,institusional,integritas_korupsi
EVN5lHuhqF4,"Kasus Suap, Mantan Sekretaris MA Nurhadi Dituntut 12 Tahun Penjara Part 02 - iNews Room 10/03",Official iNews,2021-03-10T13:30:01Z,2021,3,Nurhadi MA,institusional,integritas_korupsi
9Dj_F2N-Vik,Keterangan Mantan Sekretaris Mahkamah Agung Nurhadi pada Terdakwa Ferdy Yuman,TV Harian Nasional,2021-09-06T18:08:53Z,2021,9,Nurhadi MA,institusional,integritas_korupsi
QHYrSkBwN10,"Mantan Sekertaris MA, Nurhadi Divonis Enam Tahu Penjara dan Denda Rp500 Juta - LIP 11/03",Lintas iNews MNCTV,2021-03-11T03:07:35Z,2021,3,Nurhadi MA,institusional,integritas_korupsi
evwGHKXyEOw,Kesaksian istri Mantan Sekretaris MA Nurhadi di Sidang  Terdakwa Ferdy Yuman,TV Harian Nasional,2021-08-22T10:00:32Z,2021,8,Nurhadi MA,institusional,integritas_korupsi
Qg8ErMN2RKE,KPK Serahkan Memori Banding Atas Putusan PN Tipikor Nurhadi dan Menantunya,Tribunnews,2021-05-03T10:24:44Z,2021,5,Nurhadi MA,institusional,integritas_korupsi
iyQJsFcSnoc,Penyidik KPK Ungkap Peran Ferdy Yuman Perkara Perintangan Kasus yang Menjerat Nurhadi,TV Harian Nasional,2021-08-19T01:00:11Z,2021,8,Nurhadi MA,institusional,integritas_korupsi
yNs7pe2rczs,Eks Sekretaris Mahkamah Agung Nurhadi Dituntut 12 Tahun Penjara,TEMAN TV,2021-03-02T16:57:07Z,2021,3,Nurhadi MA,institusional,integritas_korupsi
Ss34L8mwOwc,Calon Hakim Agung Jalani Uji Kelayakan dan Kepatutan,Harian Kompas,2021-09-20T14:35:59Z,2021,9,Sudrajad Dimyati,institusional,integritas_korupsi
YNNKmydQHm8,Perampasan Harta Negara?? I Prof Santiago dan Hakim MA Prof Surya Jaya,Borobudur Hukum Channel,2021-04-15T12:36:47Z,2021,4,Sudrajad Dimyati,institusional,integritas_korupsi
Udqoh8ZB-eA,Mencari Hakim Agung,CNN Indonesia,2021-09-21T07:30:03Z,2021,9,Sudrajad Dimyati,institusional,integritas_korupsi
LivwCIyRCSs,MARI Berbincang Eps.3 | Mengenal Lebih Dekat Wakil Ketua MA Bidang Yudisial,Mahkamah Agung Republik Indonesia,2021-06-07T12:00:00Z,2021,6,Gazalba Saleh,institusional,integritas_korupsi
8bKyh6ZWuyM,MARI Berbincang Eps.5 | Mengenal Lebih Dekat Hakim Agung Kamar Pidana,Mahkamah Agung Republik Indonesia,2021-12-21T02:58:32Z,2021,12,Gazalba Saleh,institusional,integritas_korupsi
0RTuI64Xtpw,Apakah sudah beres jika sudah ada putusan Kasasi perkara PHI?,Tommy Sinulingga,2021-12-26T14:48:13Z,2021,12,vonis bebas kasasi MA,institusional,integritas_korupsi
zqkm7sWWy1k,MA Tolak Kasasi JPU Atas Kasus Investasi Memiles,LENSA INDONESIA - RTV,2021-04-13T06:00:17Z,2021,4,vonis bebas kasasi MA,institusional,integritas_korupsi
